TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
18425680968024,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681001707,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681032599,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681063275,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681092521,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681130724,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681174194,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681210807,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681242504,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681271802,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681298714,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681326226,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681354386,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681382710,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681412508,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681441337,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681467903,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681503477,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681543370,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681571622,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425681598434,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425682785973,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425682842971,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425682882851,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425682924063,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425682961993,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425683008191,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425683047921,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425683081532,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425683132612,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425683171324,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425683228390,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425683278762,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425683313501,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425683354554,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425683402739,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425683461771,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425683523308,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425683598735,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425683674983,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425683759538,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425683862959,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425683963844,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425684115136,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425684199072,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425684278909,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425684339700,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425684386070,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425684446395,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425684515352,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425684588393,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425684668277,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425684742440,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425684820312,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425684896203,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425684950302,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425684992715,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425685027831,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425685057605,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425685093032,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425685128979,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425685156336,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425685187803,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425685217441,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425685251125,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425685278852,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425685306203,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425685345629,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425685386887,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425685438209,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425685492098,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425685559087,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425685642736,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425685740008,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
